DialogueID,LineIndex,DialogueType,CharacterName,Text,PortraitID,Choices,NextLineIndices,ShopDataID
VendingMachine_First,0,OpenStore,,,,,,Dialogues/ShopData/VendingShop
VendingMachine_Second,0,NPCLine,자판기,다음에 또 이용해주세요!,Dialogues/Portraits/hwuan,,,
Doha_First,0,NPCLine,도하,안녕하세요 선배! 어쩐 일이세요?,Dialogues/Portraits/NPC_smile,,,
Doha_First,1,PlayerChoice,강민성,,Dialogues/Portraits/Player_normal,잡담하기|조사 맡기기|나가기,2|5|6,
Doha_First,2_0,NPCLine,도하,이러쿵 저러쿵 1번입니다!!,Dialogues/Portraits/NPC_smile,,7,
Doha_First,2_1,NPCLine,도하,어쩌라구요! 2번입니다!!,Dialogues/Portraits/NPC_smile,,7,
Doha_First,2_2,NPCLine,도하,저는 저희 팀원들이 너무 좋아요..ㅎ 3번입니다!!,Dialogues/Portraits/NPC_smile,,7,
Doha_First,5,NPCLine,도하,넵 알겠습니다! 어떤 걸 조사하면 될까요?,Dialogues/Portraits/NPC_smile,,7,
Doha_First,6,NPCLine,도하,뭐라구요? 그냥 제가 보고 싶어서 부르셨다구요?! 아잇 참~,Dialogues/Portraits/NPC_smile,,7,
Doha_First,7,NPCLine,도하,또 필요한 거 있으시면 바로 말씀 주세요!,Dialogues/Portraits/NPC_smile,,,
Doha_Second,0,NPCLine,도하,그럼 이만 뿅!~,Dialogues/Portraits/NPC_smile,,,
